tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
7.45E-05,1,
0.000243125,1,3691460.784
0.000324367,0,6494406.194
0.000435478,0,4752344.446
0.000510735,1,8282423.089
0.000598982,1,7073637.016
5.96E-06,1,10553410.06
7.56E-05,1,8963170.192
0.00013864,0,8356952.875
0.000196732,1,10770558.42
2.51E-05,0,171780.3686
0.00020621,0,2906289.386
2.86E-05,1,169182.0101
4.71E-05,1,104380.8605
1.21E-05,0,2175434.688
3.52E-05,0,489629.1205
5.07E-05,0,524412.1506
0.000202426,0,3476597.35
3.75E-05,1,514294.6937
4.17E-05,1,98600.27486
0.000148503,1,5829055.002
0.000201565,1,11736527.78
1.74E-05,0,240350.8261
7.71E-05,1,149428.8151
0.000221841,0,3642421.895
5.99E-05,1,247236.5101
2.13E-05,0,160118.0328
0.000104765,0,6327407.177
0.000160994,1,11090024.14
3.17E-05,0,111859.4056
2.97E-05,1,904057.2352
0.00017392,1,4326025.944
0.000226474,1,11789395.03
0.000273258,1,13353294.37
2.73E-05,0,100654.1456
8.04E-05,1,120716.0969
0.000199495,0,4429185.024
4.37E-05,0,139282.5479
0.000189002,1,4290566.715
3.20E-05,0,775417.5462
2.19E-05,0,130878.3471
0.00012499,1,6030520.037
1.86E-05,1,5829055.002
2.92E-05,1,119722.1397
7.60E-05,1,119111.8962
0.000362819,0,1840891.531
6.58E-05,1,2934131.946
0.00025838,1,3235161.553
2.32E-05,0,85707.36143
0.000139619,0,4528819.043
4.44E-06,0,5067717.419
7.60E-06,0,335341.083
2.38E-05,1,489754.0599
2.22E-05,1,925148.7084
3.86E-05,1,365078.2112
5.99E-05,1,122794.6747
0.000270898,0,2502364.42
4.44E-05,0,2046758.329
0.000190495,1,159093.4105
0.000125527,1,1493009.524
5.62E-05,1,213792.3294
2.14E-05,0,202227.4232
0.000189368,0,3141265.974
1.97E-05,0,221570.0362
2.75E-05,0,1222181.298
5.71E-05,1,739334.9424
5.66E-05,1,1363859.143
6.57E-05,1,192049.1412
0.000197767,1,4715758.011
0.000102773,0,107494.0546
6.39E-05,1,131950.8796
0.000211519,1,4214566.338
1.96E-05,0,710716.4673
1.90E-05,0,136762.3363
0.000183921,0,3200278.197
9.47E-06,0,4004688.087
5.63E-05,1,288242.9181
5.30E-05,1,264314.8552
0.042445716,0,18026.65434
0.043153479,1,136964.0324
9.52E-05,1,7108.642276
4.18E-05,0,132507.1808
0.000508096,0,1132204.761
7.01E-05,1,1302760.426
0.000103848,1,180686.6204
0.000330313,1,2754995.469
3.35E-05,0,982516.6424
2.13E-05,0,804136.7146
4.68E-05,0,100330.3816
0.000349317,1,2060823.383
3.79E-05,1,364315.9376
0.000216691,1,3489660.928
2.12E-05,0,222326.3239
0.000188056,0,156342.5706
5.09E-05,1,768196.5647
6.07E-05,1,221387.7259
5.23E-05,0,133481.557
0.000249767,0,178308.5758
0.000478487,1,2729140.455
8.47E-05,1,238343.1105
8.73E-05,1,304578.8079
6.16E-05,0,306687.7873
3.17E-05,0,179508.1877
0.000302206,1,2305943.344
0.000439285,1,4543829.333
4.80E-05,1,2796202.667
0.000106178,0,230374.7542
2.29E-05,0,789234.68
4.54E-05,0,231506.6393
0.000102906,1,81551.91774
8.68E-05,1,728023.8376
0.000244955,1,3923906.591
4.24E-05,0,238590.0142
0.000376153,0,1581851.794
8.71E-05,1,815849.6559
8.87E-05,1,92793.67828
0.000320344,1,2689872.247
0.000100176,0,762600.7273
8.46E-05,0,650776.5242
1.93E-05,0,848828.0997
4.12E-05,0,80302.86866
0.000356165,1,1979762.251
0.000560638,1,3053962.306
3.37E-05,1,2754995.469
0.000189689,1,3977577.046
2.12E-05,0,163077.5046
1.80E-05,0,807067.242
6.16E-05,1,358281.4094
5.96E-05,1,866350.7766
0.000203312,1,4340374.289
6.30E-05,0,969187.095
0.042955332,1,14548.09367
4.61E-05,0,20320.3453
0.000381509,0,1572864
0.000602942,1,2817272.009
0.000750047,1,4241889.297
0.000837623,1,7131459.662
2.30E-05,1,1832805.109
2.06E-05,0,874296.2937
1.95E-05,0,310340.8789
7.48E-05,1,200110.5357
6.92E-05,1,873871.6848
3.23E-05,0,310427.8823
2.83E-05,0,123651.1732
0.000214997,0,2817547.725
6.29E-05,1,194071.3107
0.000265634,1,3071884.62
0.000382933,1,5319605.073
0.000245503,0,1035340.118
3.96E-05,0,75382.68473
0.000391994,1,1770802.23
0.000621598,1,2714985.162
1.01E-05,0,1681543.289
0.000203027,1,5652798.479
4.49E-05,0,152038.4808
2.97E-05,0,646785.1963
2.13E-05,0,787830.8474
0.000218227,1,3164746.912
6.30E-05,1,171983.5521
0.000267635,1,3046851.8
0.00038923,1,5131854.306
4.85E-05,0,1410568.479
8.81E-05,1,148151.5734
8.80E-05,1,134812.2847
9.29E-05,1,727821.3838
0.000276706,0,2876094.171
2.09E-05,0,992200.9462
0.000218234,0,2671402.306
4.40E-05,0,199010.8296
0.000306846,1,2372842.879
7.70E-05,1,1675573.429
6.06E-05,1,179030.419
5.88E-05,1,845910.0504
0.000282919,0,76278.45941
4.88E-05,0,88615.6021
0.000319087,1,2305943.344
0.000421319,1,6100805.818
6.42E-05,1,121585.3245
0.000269369,0,2572116.739
4.34E-05,0,91781.36317
0.000349493,0,1724760.523
1.75E-05,0,2545508.634
9.02E-05,1,140523.2588
0.000396003,1,2039942.086
0.000538957,1,4362076.16
0.000660772,1,5121811.538
0.000214914,0,686482.4898
5.18E-05,1,211614.3027
0.000211673,1,3894710.857
0.000309911,1,6352538.097
5.36E-05,0,195324.7938
3.43E-05,0,685420.1523
2.24E-05,0,209397.9304
8.78E-05,1,342168.3483
8.96E-05,1,143300.7937
0.00031234,1,2799193.258
0.000238686,0,719490.7446
3.86E-05,0,242615.3059
5.53E-05,1,259107.583
0.000219216,1,3809673.502
3.12E-05,1,1204438.884
7.34E-05,0,208491.1045
3.46E-05,0,204941.0061
0.000246944,0,2482727.031
3.91E-05,0,236424.9506
3.69E-05,1,434397.6259
7.65E-05,1,115802.2077
0.000363824,1,2168389.143
0.000562811,0,2655386.705
2.54E-05,0,1338122.364
2.12E-05,0,542127.9099
8.71E-05,1,207142.5165
1.40E-05,0,2952790.016
1.98E-05,0,1111743.229
4.43E-05,0,124772.8048
0.000235008,0,2764784.659
5.20E-05,1,169653.5746
5.40E-05,1,173741.7483
0.000222611,1,3696674.712
4.16E-05,0,5990.987551
0.000277343,1,2646355.608
0.000376175,0,5336367.499
1.91E-05,0,1115663.734
3.06E-05,1,545259.52
7.38E-05,1,208678.4959
2.05E-05,0,926220.2058
1.98E-05,0,486509.7786
4.17E-05,0,168435.6946
3.59E-05,0,649059.939
3.45E-05,1,400926.1176
6.69E-05,0,12717.45691
0.000383001,1,1973790.118
1.36E-05,0,3013051.037
3.58E-05,0,131781.7621
1.39E-05,1,1088251.849
2.87E-05,0,116184.4873
0.000237113,1,2984316.643
3.67E-05,0,233311.4741
2.18E-05,0,519369.7261
2.99E-05,1,133193.1652
0.000142579,1,5533288.998
0.000175286,1,18965548.52
2.91E-05,1,860087.3138
2.02E-05,0,766029.9246
7.57E-06,0,1107296.256
1.59E-05,0,227721.5951
3.26E-05,1,141518.6383
0.00015925,0,4162767.88
0.000283745,1,5023504.215
1.42E-05,0,196870.1673
9.61E-05,1,7608272.372
2.23E-05,0,172731.6521
1.47E-05,0,1720740.103
8.04E-06,0,333874.9453
1.53E-05,1,156402.8741
0.000104785,1,6979321.856
0.000181724,1,8077918.815
2.73E-05,1,640383.0918
1.43E-05,0,493008.1282
2.06E-05,0,155029.2273
8.97E-06,0,1791741.515
1.43E-05,1,785016.7055
4.86E-05,1,199820.2547
9.93E-06,1,643374.0649
2.14E-05,0,128315.2275
0.000118423,0,5427922.824
6.03E-06,0,2810396.589
3.02E-05,1,200585.9669
0.000198449,1,3707146.878
2.67E-05,0,11530.3124
0.000135531,1,5727014.652
0.000178246,0,12372025.21
1.55E-05,0,517791.0947
8.27E-06,0,728005.428
1.65E-05,1,556979.2926
1.45E-05,1,2681604.197
3.35E-05,0,93727.46369
3.65E-05,0,241030.9656
2.49E-05,0,654430.4113
6.69E-05,1,206553.997
0.000138362,1,8724152.32
0.000172103,1,18431307.72
2.40E-05,1,595099.0668
2.08E-05,0,142079.458
0.000110682,0,5858710.349
4.08E-06,0,5812578.772
7.28E-06,0,2551373.862
0.043451601,1,22052.59177
4.38E-05,1,43701.60958
0.00019847,1,4032736.049
0.000283794,1,7290377.983
2.01E-05,0,95452.45946
1.86E-05,0,361979.8156
1.89E-05,0,1063685.164
1.89E-05,0,1322144.783
5.70E-05,1,190289.7845
0.000187938,1,4758628.538
0.000303769,1,5385279.21
5.87E-05,1,447239.5243
1.97E-05,0,134421.3968
0.000194313,0,3021272.186
9.74E-06,0,3370764.858
5.83E-05,1,86232.60176
0.00019733,0,3792110.466
0.000322013,1,5004293.874
1.99E-05,0,332571.3338
1.94E-05,0,646785.1963
1.94E-05,0,218250.9621
5.85E-05,1,117544.4937
0.000199063,0,3747195.452
0.000341279,1,4383996.141
4.21E-05,1,3359750.573
0.000134626,1,6762908.775
1.92E-05,0,1216140.863
1.98E-05,0,95468.91891
3.13E-05,1,124299.2827
0.000175301,1,4326025.944
0.000261801,0,6100805.818
0.000372851,1,5616407.073
4.22E-05,0,158422.8136
0.000311649,0,1958083.565
3.78E-05,0,224831.7271
0.000285496,0,2133518.798
9.09E-05,1,393452.4498
8.27E-05,1,457880.6326
8.03E-05,1,775940.0225
5.04E-05,0,97610.74189
0.000318866,0,1965033.285
0.000465456,0,3606828.195
8.99E-05,1,215855.3151
6.72E-05,1,1673430.752
7.13E-05,1,435699.3001
4.31E-05,0,144697.3219
0.000309279,0,1979081.78
2.75E-05,0,1739664.189
6.68E-05,1,224367.3979
8.51E-05,1,150217.8555
0.000310663,1,2763723.016
0.000467844,1,3965523.782
4.10E-05,0,176940.9166
4.28E-05,0,126569.8412
3.61E-05,0,655398.7902
0.000271289,1,2649034.105
5.20E-05,1,935733.177
4.99E-05,1,2260143.088
4.27E-05,0,104103.4415
0.000310932,1,2324374.508
0.000408012,0,5427922.824
9.41E-06,0,4078439.249
1.42E-05,0,605245.2889
4.50E-05,1,1102926.968
9.13E-05,1,4965.227125
0.000327914,1,2635695.565
0.000466861,0,3805141.773
0.000626029,1,3912175.928
2.89E-05,0,98190.67624
0.000220699,0,2747633.39
3.53E-05,1,487201.3582
4.12E-05,0,130855.1472
0.000442475,1,1554183.905
2.73E-05,0,2148004.376
4.19E-05,0,164543.6148
6.66E-05,1,116213.5649
3.04E-05,1,1038589.562
0.000165967,1,4591659.116
2.99E-05,0,370147.5033
0.000404613,0,1407878.266
2.41E-05,0,818400.7805
2.92E-05,0,596282.3134
9.83E-05,1,136158.8646
0.000385612,1,2170187.144
0.000525973,1,4443541.08
1.97E-05,0,2898681.298
4.07E-05,0,143711.3895
0.000313628,0,1934141.932
3.23E-05,0,1081872.258
3.38E-05,1,544918.9457
0.000147931,1,113620.3905
6.60E-05,1,361697.8574
2.89E-05,0,210552.6252
0.000206764,0,2964648.61
2.25E-05,0,973019.5571
3.19E-05,1,854750.3906
1.42E-05,1,3022223.667
2.88E-05,1,195345.9991
2.94E-05,0,860704.4353
1.92E-05,0,889394.5831
3.93E-05,0,305925.1985
4.22E-05,0,107207.8478
4.76E-05,1,752082.0966
2.91E-05,1,866064.0953
3.10E-05,1,392508.3527
3.26E-05,1,679804.0769
2.01E-05,0,830679.862
4.41E-05,0,93537.44349
0.000287289,0,2171169.129
2.31E-05,0,2109135.726
0.000240047,1,2869786.947
3.26E-05,1,503607.0225
0.000169923,1,4535954.412
6.11E-05,1,353299.905
4.40E-05,0,141191.7445
3.41E-05,0,656564.6345
1.95E-05,0,745152.2584
4.39E-05,1,1003930.071
5.90E-05,1,167793.672
0.000281759,1,2799193.258
0.000403791,0,4316944.468
2.34E-05,0,1573981.885
0.000212414,0,2782151.397
1.57E-05,0,219396.9202
1.87E-05,1,1219592.589
1.98E-05,1,1154497.44
0.043274283,1,14226.71292
5.11E-05,0,14133.14089
0.000303225,0,2093187.629
5.13E-05,1,1165291.939
2.92E-05,1,933064.4193
7.76E-05,1,194996.6992
0.000307324,0,2294914.52
2.67E-05,0,1341364.332
0.000177569,0,3487547.263
0.000274569,1,6414817.882
0.000115941,0,169544.6725
0.000254008,1,4520286.176
2.28E-05,0,1040203.153
2.30E-05,0,172328.419
0.000229465,1,3015260.018
2.92E-05,1,872415.232
3.15E-05,1,846183.5422
0.000193245,1,3848890.729
2.15E-05,0,981210.6832
4.43E-05,0,126598.7831
0.000242325,0,2664972.939
9.27E-06,0,3885250.021
6.18E-05,1,738917.4749
