tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
0.000472692,0,6751806.439
0.000290898,1,360154.9052
7.34e-05,1,932731.8945
0.000108174,1,166926.8254
0.00035968,1,2476107.565
1.23e-05,0,446130.643
9.24e-05,1,148935.6226
0.000211271,0,4446972.916
5.37e-05,1,2080481.475
4.37e-05,1,558882.2755
1.68e-05,0,116840.3773
0.000178562,1,3854559.199
1.33e-05,0,259684.863
4.78e-05,1,170626.8789
0.000159075,1,5604380.505
0.000260239,1,6158225.167
4.52e-05,1,1502437.254
1.42e-05,0,375418.2933
6.1e-05,1,140606.3015
0.000170607,0,4814331.548
2.24e-05,1,1317847.782
2.31e-05,1,495502.7823
3.04e-05,1,334045.3983
1.41e-05,0,1347075.737
0.000179016,0,169557.6535
4.13e-05,1,1334648.494
4.16e-05,1,536981.062
4.2e-05,1,81870.7988
0.000149141,1,5803205.534
1.58e-05,0,212880.1799
1.13e-05,0,138715.4721
0.000177069,1,3760410.483
1.68e-05,1,3650272.937
0.000115538,1,6321849.507
5.69e-05,1,268215.3818
0.000167645,0,4762564.542
4.73e-05,1,105461.8083
0.000158968,0,4732035.282
0.000270881,1,5568607.864
4.38e-05,1,2944033.404
4.83e-05,1,208928.3704
1.72e-05,0,383878.0572
5e-05,0,314304.9265
2.44e-05,1,1263149.467
2.38e-05,1,168430.7675
0.000132493,1,5739573.895
0.000247579,1,5407532.43
0.00039395,0,3606828.195
1.32e-05,0,334530.5909
2.31e-05,1,134673.5462
0.000136239,1,5509990.939
0.000216609,1,7766307.703
8.38e-05,1,213722.4968
0.000280443,0,2684354.56
6.15e-05,0,127656.9352
2.3e-05,1,1447591.646
2.01e-05,1,1440421.407
2.17e-05,1,340344.0437
4.79e-05,1,477077.2322
0.000168918,0,93862.52912
4.45e-05,1,203803.5895
0.00016718,1,5091917.696
0.000325315,1,3941635.084
5.53e-05,1,550999.0939
4.68e-05,0,261062.4204
4.55e-05,1,110712.5929
0.000159368,1,5475409.406
0.000248931,1,6960759.83
4.1e-05,1,2312054.502
8.92e-06,0,3926582.468
0.000180764,0,171196.0816
4.28e-05,1,1310588.731
4.62e-05,1,226758.4211
0.000159026,1,5521615.392
0.000294953,1,4591659.116
9.09e-06,0,3097332.185
4.67e-05,0,164739.4564
4.41e-05,1,88759.30736
0.000169107,1,4985229.897
4.87e-05,1,2612021.653
6.49e-05,1,417356.9919
1.34e-05,0,1262595.503
4.37e-05,1,125161.1925
0.000154771,0,4762564.542
0.000266093,1,5604380.505
2.28e-05,1,132572.4697
0.000132458,0,4814331.548
0.000241966,1,5689664.557
1.34e-05,0,370891.3937
6.04e-05,1,190179.167
2.3e-05,1,215819.716
0.00013778,1,5441259.243
2.18e-05,1,473623.9045
1.36e-05,0,189039.0535
1.29e-05,0,604749.4571
2.41e-05,1,187280.5507
0.000133101,1,5727014.652
0.000206172,1,8525230.28
1.83e-05,1,542884.4007
1.55e-05,0,130754.7093
1.1e-05,0,1590942.897
0.00018876,0,1058094.846
2.35e-05,1,446096.0791
0.000134683,1,5616407.073
1.95e-05,1,676990.6094
2.26e-05,1,291031.4351
1.18e-05,0,165157.1715
5.59e-05,1,250622.0144
0.000198966,0,3690987.52
2.19e-05,1,1708384.919
2.48e-05,1,424051.4738
1.51e-05,0,154047.8932
0.000164928,1,4160962.951
1.24e-05,0,634553.7284
5.69e-05,1,190428.2375
2.08e-05,1,322718.3349
2.14e-05,1,751866.0431
5.22e-05,1,171825.479
0.000242451,0,2775178.586
1.33e-05,0,149543.6905
0.000169581,1,3989703.805
2.07e-05,1,1595881.522
2.3e-05,1,184481.9691
0.000133159,0,4783137.175
0.000256393,1,5062370.785
