tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
1.31e-05,0,192824.7725
5.34e-05,0,171222.5539
5.39e-05,1,831663.7102
4.16e-05,1,1270507.619
4.68e-05,1,373625.367
1.67e-05,0,117935.4837
0.000185388,1,3691460.784
1.97e-05,0,3093006.302
4.46e-05,1,235660.5165
0.000169149,1,5013880.644
0.000337356,1,3701903.389
6.2e-05,1,97698.52163
0.000242137,0,2933235.115
4.61e-05,1,537753.3791
5.76e-05,1,213844.7337
0.000190263,1,4698825.307
3.91e-05,1,2161226.834
1.46e-05,0,494108.1017
1.41e-05,0,110403.934
0.000164523,1,4147774.479
0.000250058,1,7290377.983
4.47e-05,1,777784.7536
4.49e-05,1,366202.0003
5.11e-05,0,168898.1477
6.14e-05,1,125131.2725
0.000181276,1,5203271.761
0.000326981,0,3624537.663
4.26e-05,1,4115166.189
1.88e-05,1,4451098.122
1.17e-05,0,1555191.371
0.000117681,0,166723.8208
4.41e-05,1,240577.7825
0.000191374,1,4228183.677
0.000312991,1,5131854.306
3.94e-05,1,2469099.713
5.75e-05,0,182978.8079
2.84e-05,1,229160.8174
0.000157798,1,4819973.657
2.91e-05,1,2911285.535
9.65e-05,1,183254.845
0.000228453,0,4004688.087
2.43e-05,0,171381.5595
0.000242008,1,2860377.81
0.000345471,1,6030520.037
1.69e-05,1,1860160.409
2.27e-05,0,183236.1834
0.000196135,1,3590186.14
7.56e-06,0,2664972.939
2.94e-05,1,220232.7243
0.000150463,1,5152058.457
0.000235635,1,7310742.168
9.41e-05,1,65590.19863
0.000229239,0,3919632.765
1.72e-05,0,45551.8134
0.000183872,1,3738922.423
2.26e-05,1,298125.72
2.27e-05,1,200324.9672
0.000133334,0,4783137.175
0.000240632,1,5803205.534
1.26e-05,0,1171122.428
2.26e-05,1,219881.1809
0.000164399,1,4398732.262
2.44e-05,1,160409.7632
0.000180527,1,3995794.956
0.000310734,0,4056030.242
1.25e-05,0,138455.2993
2.13e-05,1,1338060.172
2.3e-05,1,121023.1063
0.000137276,1,5463978.489
1.97e-05,1,1651259.114
1.33e-05,0,1024325.861
0.000177606,0,110663.2277
2.38e-05,1,183924.5043
0.000138576,1,5429970.324
0.000219115,1,7743330.462
4.44e-05,1,2960685.176
0.000181389,0,221992.0321
2.17e-05,1,150037.0154
0.000133852,1,5556784.917
2.24e-05,1,238756.2211
0.000134193,1,5568607.864
1.39e-05,0,600811.8589
1.32e-05,0,194638.1185
4.15e-05,1,95617.62736
0.000159692,1,5287365.042
0.000244081,1,7393349.424
0.000397421,1,4057745.265
0.000165553,0,402653.184
1.28e-05,0,123533.916
0.000159494,1,4248775.481
4.22e-05,1,1497280.146
5.35e-05,1,296135.5166
0.000178182,1,5013880.644
1.86e-05,0,34868.88323
0.000306202,0,1834790.814
4.68e-05,1,102492.391
0.000169032,1,5111808.0
0.00026119,1,6762908.775
0.000426912,1,3760410.483
6.66e-05,1,179681.841
0.000177807,0,4752344.446
0.00025565,1,8003809.468
2.02e-05,1,210034.9648
2.42e-05,1,538195.7014
1.34e-05,0,411023.1091
0.000168058,0,143515.8131
3.95e-05,1,945536.7399
4.32e-05,1,406089.3244
4.13e-05,1,1269275.313
4.13e-05,1,1049837.824
0.000192196,0,132657.9916
1.05e-05,0,295239.6363
2.35e-05,1,181061.6185
0.000145593,1,5111808.0
2.07e-05,1,1267431.33
1.92e-05,1,1212249.049
0.000219806,0,147807.0154
1.22e-05,0,751473.5365
4.84e-05,1,160370.4471
4.32e-05,1,1280452.885
4.12e-05,1,202479.1657
0.000137228,1,6494406.194
1.87e-05,0,125686.2947
1.43e-05,0,980341.9708
2.17e-05,1,1196728.713
2.02e-05,1,474396.5372
1.93e-05,1,1266817.859
1.99e-05,1,1209448.104
0.00018025,0,124219.9076
3.94e-05,1,187858.5771
0.00015573,0,4547417.889
0.000277468,1,5121811.538
2.4e-05,1,174856.0727
0.00014504,1,5152058.457
1.23e-05,0,1133943.939
1.13e-05,0,133192.549
0.00015633,1,4297611.98
0.000239225,1,7520820.966
1.99e-05,1,1845730.392
5.68e-05,1,226268.3233
0.00016731,0,4783137.175
5.34e-05,1,1308622.848
1.98e-05,1,1067392.209
2.59e-05,1,117465.3604
0.000184031,1,3947580.235
0.000304281,0,4385331.707
1.23e-05,0,79364.69725
0.000169718,1,3965523.782
0.000254378,1,7372523.087
3.43e-05,1,217722.7931
