tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
2.18e-05,0,165292.7685
0.00014599,1,4994743.695
4.17e-05,1,426469.8869
1.99e-05,1,1507630.009
2.34e-05,0,120831.1061
0.000186134,1,3831984.914
0.000267066,0,6513507.388
0.000113567,1,437739.705
3.89e-05,1,752947.5535
5.11e-05,1,236962.0368
1.96e-05,1,1790181.735
0.000149967,0,104674.2219
1.1e-05,1,162875.4556
5.94e-05,1,12829635.76
7.64e-06,1,2514164.934
8.68e-06,1,706790.6281
7.36e-06,0,102224.5436
0.000172443,0,3195660.19
2.73e-05,1,419766.7516
0.000150083,1,5072181.581
3.06e-05,1,326014.6607
2.35e-05,1,199075.5074
1.5e-05,0,121787.9736
0.000305537,0,1816728.886
2.88e-05,1,89785.44412
0.000157438,1,4846751.289
0.000235711,1,7955154.091
0.000317845,1,7586219.409
0.000140427,0,1424175.249
0.000164622,0,87010.54974
1.87e-05,1,1413199.62
2.91e-05,1,849203.6652
2.29e-05,1,151821.2017
0.000172491,1,4160962.951
0.000300649,0,4124008.402
0.000190062,0,125174.7972
2.24e-05,1,3989703.805
2.1e-05,1,515104.4472
0.000134178,1,5498415.328
1.99e-05,1,879746.4524
1.13e-05,0,261308.851
0.000179191,0,164629.2382
2.01e-05,1,648635.8602
1.97e-05,1,1509368.913
2.04e-05,1,210203.654
0.000131545,1,5616407.073
2e-05,0,96102.78216
1.32e-05,0,1017268.035
2.35e-05,1,1284853.066
5.26e-05,1,226444.5143
0.000247445,1,3195660.19
5.21e-05,1,2095472.935
1.59e-05,0,175427.1635
1.69e-05,0,87044.74931
0.00018259,1,3760410.483
2.04e-05,1,1648139.607
2.09e-05,1,158774.9148
0.00017923,1,3935707.814
0.000333514,0,3422863.233
7.92e-05,1,144367.902
0.000310612,1,2689872.247
0.000515521,1,3046851.8
9.39e-05,1,1917396.114
0.000260429,0,62782.57391
2.76e-05,1,994016.5955
0.000171326,1,4333188.238
2.06e-05,1,1534141.674
2.21e-05,1,147458.7693
1.38e-05,0,498333.1485
2.11e-05,0,119999.5943
0.000191364,1,3660483.491
0.000290232,1,6321849.507
8.71e-05,1,2514164.934
8.54e-05,1,1104323.078
0.000202675,0,153791.1467
4.66e-05,1,165816.3771
0.000198751,1,4095846.16
0.000284154,1,7290377.983
5.77e-05,1,2519004.52
2.28e-05,0,590085.9345
2.55e-05,0,86201.10202
0.000229689,1,3050402.909
4.63e-05,1,2471431.252
4.48e-05,1,157570.4814
4.55e-05,1,367642.3228
0.000157162,0,139748.3758
4.05e-05,1,1034484.465
4.39e-05,1,1023561.086
4.32e-05,1,501100.0758
4.23e-05,1,1135957.333
5.67e-05,0,415184.198
1.4e-05,0,234447.6511
4.52e-05,1,159054.7369
0.000161194,1,5374221.142
4.25e-05,1,592271.0333
4.1e-05,1,1003545.129
0.000254764,0,108953.6806
3.94e-05,1,929749.8032
4.46e-05,1,1251671.782
1.25e-05,0,68107.77808
1.26e-05,0,437320.7962
0.000181435,0,86187.6829
9.16e-05,0,75542.11052
1.17e-05,0,548302.1817
3.03e-05,0,97546.24992
0.000227563,0,112862.7312
2.28e-05,0,73696.9222
0.000250903,0,2314098.759
0.000197745,0,87343.42386
6.25e-05,0,76528.87249
2.99e-05,0,217393.9837
1.96e-05,0,129130.7587
3.69e-05,0,120765.215
3.41e-05,0,67043.85178
0.000335973,0,1749283.185
2.86e-05,0,69353.39196
0.000204599,0,2996742.235
0.000117181,0,60184.05066
1.94e-05,0,79154.78276
0.000247343,0,2314098.759
0.000118836,0,57246.8014
0.000108829,0,54647.56353
2.64e-05,0,141870.1161
1.41e-05,0,223651.0313
0.000124654,0,69488.31227
2.26e-05,0,71364.80124
1.09e-05,0,323015.2439
4.51e-05,0,82887.66045
8.95e-05,0,108777.0771
3.38e-05,0,142904.5952
1.23e-05,0,311125.669
1.13e-05,0,55933.94065
0.000243585,0,2271376.935
9.87e-06,0,97037.61774
0.000202748,0,2740832.317
1.63e-05,0,27165.91445
1.09e-05,0,139098.8325
1.55e-05,0,87381.33333
1.38e-05,0,263736.1572
0.000175864,0,75017.5303
1.89e-05,0,113831.5349
1.22e-05,0,167379.0728
3.26e-05,0,179624.6664
0.000121073,0,228567.7069
2.96e-05,0,84371.85736
1.33e-05,0,327747.8929
1.18e-05,0,75287.86374
0.000155715,0,93348.19221
1.09e-05,0,279726.2236
1.25e-05,0,96935.67854
0.00015622,0,147737.9928
0.000179218,0,280825.8321
2.17e-05,0,133360.9847
1.24e-05,0,296226.9278
0.000170525,0,72554.87704
3.5e-05,0,34151.04033
0.000394417,0,1465646.931
2.53e-05,0,29005.03604
0.000286085,0,2022458.915
1.37e-05,0,4701894.93
0.000296253,0,4976612.387
0.000154053,0,82658.7232
1.5e-05,0,244436.2596
0.000253014,0,88265.94308
0.000891182,0,305629.6594
0.00024083,0,79231.24439
5.94e-05,0,34023.54451
0.00023081,0,3080100.851
0.000184164,0,145295.4017
1.98e-05,0,163330.0768
0.000222071,0,118143.1055
1.55e-05,0,483324.4243
0.000151581,0,78971.31234
1.15e-05,0,477694.6747
0.000161557,0,70688.26046
1.37e-05,0,302581.2969
0.000117382,0,78218.22174
0.000117803,0,84665.3864
1.4e-05,0,39848.71816
0.000229862,0,2444362.596
0.000125329,0,69799.31014
1.27e-05,0,323912.9022
9.38e-05,0,91485.62449
1.62e-05,0,49827.70867
0.000208173,0,2747633.39
0.000171992,0,104595.1217
4.86e-05,0,31788.25717
6.46e-05,0,127114.712
6.04e-05,0,106552.7575
8.1e-05,0,91218.07859
1.12e-05,0,511217.108
1.41e-05,0,58124.26215
0.000210169,0,2687612.272
4.2e-05,0,79041.77714
4.07e-05,0,105668.1225
0.000110966,0,130048.3007
8.89e-06,0,93379.68089
4.61e-05,0,100558.167
1.18e-05,0,57902.38481
0.000192702,0,2913937.516
9.6e-06,0,105799.3747
5.28e-05,0,98693.90401
2.11e-05,0,90925.95303
1.28e-05,0,888324.3129
0.000222197,0,79664.46678
0.0001899,0,612104.0663
6.58e-05,0,69442.5547
0.000159292,0,55742.46802
9.7e-05,0,99197.87288
1.37e-05,0,155661.2436
5.37e-05,0,86328.79242
0.000102719,0,100819.1073
8.7e-05,0,214613.0935
0.000102787,0,103403.4884
8.52e-05,0,163125.5533
5.11e-05,0,90170.70489
4.72e-05,0,95243.09788
9.1e-05,0,62228.63077
1.13e-05,0,96190.44052
1.21e-05,0,159197.2189
0.000240398,0,54646.21507
4.29e-05,0,125224.3433
1.95e-05,0,605245.2889
3.84e-05,0,44871.5912
0.000469093,0,1225563.095
2.23e-05,0,1313518.69
1.46e-05,0,755833.6218
5.01e-05,0,58879.94555
8.32e-06,0,641724.8658
6.36e-05,0,88957.32123
5.13e-05,0,126947.1202
7.38e-05,0,79484.33393
5.63e-05,0,128233.4981
1.53e-05,0,95222.62166
3.1e-05,0,2455202.341
5.95e-05,0,71224.79375
5.15e-05,0,107504.4909
6.96e-05,0,120989.5385
1.49e-05,0,158309.5655
0.000128062,0,92866.7133
5.28e-05,0,129236.2577
9.5e-05,0,115151.4409
9.69e-05,0,45056.91669
9.48e-05,0,103757.1454
8.96e-05,0,165021.7967
8.64e-05,0,170892.238
8.64e-05,0,160524.247
2.32e-05,0,88925.17314
0.000291803,0,1966778.43
7.41e-05,0,70226.49475
9.89e-05,0,65648.67825
5.36e-05,0,61834.21784
6.01e-05,0,221370.7029
8.05e-05,0,123293.203
0.000188885,0,86874.01977
0.000122042,0,115723.0763
1.95e-05,0,120364.8303
0.000117536,0,98029.85755
7.88e-05,0,92266.99908
0.000130455,0,79684.53195
0.000175847,0,84246.68133
0.000179858,0,82299.32409
0.000123233,0,60823.74381
5.26e-05,0,120019.1043
5.38e-05,0,212839.2611
0.000204789,0,82198.51949
4.02e-05,0,59508.06159
0.000348251,0,1714080.892
7.58e-05,0,64652.08478
2.22e-05,0,415573.7497
5.47e-05,0,88160.52994
2.02e-05,0,334379.0596
7.85e-05,0,77978.60958
2.97e-05,0,73481.73442
9.9e-05,0,789516.0471
3.7e-05,0,28962.92994
0.000169861,0,778963.2473
1.29e-05,0,41932.71566
1.48e-05,0,137024.6573
0.000172191,0,163161.6085
0.000162969,0,799780.6111
1.52e-05,0,68223.17587
1.36e-05,0,72023.95317
0.000210762,0,188556.1951
1.31e-05,0,422470.9103
3e-05,0,128710.4796
1.59e-05,0,964123.8624
0.000101752,0,57670.17817
1.56e-05,0,199710.7505
1.3e-05,0,74885.62243
0.00027999,0,1977314.743
0.000174691,0,69286.12809
1.89e-05,0,163825.4558
0.00029462,0,1912428.767
1.16e-05,0,70910.07371
0.000271914,0,2028015.121
1.19e-05,0,60850.48393
4.76e-05,0,152446.6519
0.000118159,0,105061.5547
9.49e-05,0,51952.81188
4.51e-05,0,147207.6916
5.46e-05,0,151249.3179
0.000136492,0,984700.9835
4.75e-05,0,62766.55931
0.000177009,0,65058.53443
5.12e-05,0,60919.11292
1.28e-05,0,85883.52253
1.14e-05,0,1025749.195
9.1e-05,0,73323.59408
1.42e-05,0,165750.5061
1.54e-05,0,84048.44632
5.18e-05,0,2069712.628
5.77e-05,0,76462.81504
0.000222928,0,98021.17966
0.000163966,0,273981.5059
1.08e-05,0,61354.55082
0.00021781,0,2548437.873
0.000223054,0,95473.03466
1.94e-05,0,66241.69993
0.000284759,0,1987964.553
1.7e-05,0,69944.80803
1.67e-05,0,326973.6471
8.48e-05,0,81734.36103
4.36e-05,0,757384.58
1.56e-05,0,73306.60417
0.000328979,0,1684100.77
9.68e-05,0,58238.90265
4.13e-05,0,80439.95903
4.95e-05,0,106419.6306
0.000821852,0,683516.2074
1.87e-05,0,86288.42829
1.52e-05,0,130623.5999
9.67e-06,0,77539.03967
0.000199032,0,2785650.958
9.72e-05,0,75206.04856
1.3e-05,0,94274.0842
1.18e-05,0,341705.3714
6.54e-05,0,72774.22733
4.45e-05,0,102622.4519
1.15e-05,0,126896.2017
2.88e-05,0,233164.0884
1.35e-05,0,128003.7288
1.05e-05,0,75529.22861
1.18e-05,0,155061.7919
1.4e-05,0,88311.70044
0.000285401,0,1946039.114
1.18e-05,0,97178.13471
1.19e-05,0,374973.3342
1.83e-05,0,74310.1977
0.000320998,0,1743773.631
0.000184841,0,68973.23134
1.11e-05,0,99922.95772
1.35e-05,0,90336.22321
0.000195151,0,111403.6175
1.52e-05,0,275686.8557
1.19e-05,0,102404.1668
0.00026874,0,2056260.457
1.91e-05,0,59142.54272
0.000285739,0,1979081.78
1.69e-05,0,95452.45946
0.000362205,0,1528359.222
0.000197952,0,60423.79504
0.000178458,0,87384.78128
0.000193416,0,91830.83895
0.000173164,0,69595.31479
0.000179726,0,59653.9304
0.00018219,0,57926.61746
0.000173859,0,78520.5117
0.000165419,0,76239.07023
1.19e-05,0,82125.36201
0.00010709,0,1702223.299
5.05e-05,0,117941.7645
4.12e-05,0,265634.2224
0.0001663,0,72915.597
0.00017218,0,160071.7392
4.05e-05,0,102703.3582
8.66e-05,0,151456.197
0.000189984,0,102836.894
0.000167176,0,794330.1693
5.07e-05,0,69044.19367
0.000156389,0,78579.01969
4.07e-05,0,60177.50909
0.000159817,0,60262.66053
1.69e-05,0,57432.37842
1.32e-05,0,1029564.162
0.000181728,0,71597.83104
1.1e-05,0,81227.71831
0.000225872,0,2457927.316
0.000209157,0,25580.34181
1.21e-05,0,3532045.474
0.000384782,0,1415075.088
1.85e-05,0,904653.8039
2.18e-05,0,89561.7144
0.00011626,0,70991.90614
7.97e-05,0,696193.8108
0.000149011,0,63573.77672
0.00012809,0,82971.5077
2.46e-05,0,67351.73845
0.000311267,0,1842423.055
1.85e-05,0,142079.458
9.83e-06,0,1377234.149
0.000178718,0,47452.16439
2.01e-05,0,62230.37941
0.00040192,0,1381529.951
3.02e-05,0,163101.5254
0.000100863,0,82332.98059
9.17e-05,0,68298.92096
2.71e-05,0,88939.45831
1.9e-05,0,428188.8074
0.000176873,0,69057.1116
3.57e-05,0,78370.46189
4.33e-05,0,182391.0815
0.000167235,0,90053.3715
2.21e-05,0,189281.4113
1.51e-05,0,65098.6952
5.05e-05,0,134650.2409
0.000101349,0,106007.0132
0.000176056,0,73459.79739
0.000176516,0,85720.63139
1.79e-05,0,197449.4037
8.16e-05,0,78777.4798
6.03e-05,0,204467.9634
0.000175813,0,102153.813
4.74e-05,0,51982.07901
0.000180253,0,68829.6041
1.53e-05,0,94338.33917
0.000250966,0,2236962.133
0.000166366,0,69933.76423
1e-05,0,67094.63181
0.000194561,0,2861230.636
0.000121905,0,69816.914
8.7e-05,0,976882.4491
5.56e-05,0,88114.92906
1.49e-05,0,242323.2861
1.23e-05,0,60622.28004
0.000264657,0,2091211.059
9.41e-06,0,108383.1308
1.36e-05,0,238230.6919
0.000117198,0,81867.30664
1e-05,0,249925.7998
1.26e-05,0,100672.448
1.37e-05,0,398164.781
0.000123643,0,45858.37224
1.17e-05,0,120162.3718
1.13e-05,0,1202929.121
0.000165666,0,55615.08066
2.57e-05,0,70996.45792
0.000144897,0,510039.731
0.000219968,0,59567.28474
1.65e-05,0,84099.51437
0.000277226,0,2022458.915
1.67e-05,0,45083.51679
0.000244688,0,2316519.364
5.57e-05,0,354164.8028
1.38e-05,0,522309.5547
2.86e-05,0,39446.97301
8.43e-05,0,973447.258
0.00013638,0,162885.5922
1.52e-05,0,113819.8341
9.43e-05,0,135931.286
9.33e-05,0,197802.1179
9.58e-05,0,79515.72698
8.24e-05,0,86727.72712
0.000100951,0,122353.1775
2.75e-05,0,115199.3608
8.56e-05,0,126555.3753
0.000108463,0,78281.81379
2.49e-05,0,139642.6327
0.000110778,0,82329.91977
8.63e-05,0,62395.19094
2.27e-05,0,90079.01208
1.15e-05,0,275036.3279
1.28e-05,0,81263.48569
1.11e-05,0,116680.322
5.08e-05,0,135839.5701
0.000107121,0,149100.6875
1.06e-05,0,131703.3905
1.06e-05,0,1090932.272
0.000111237,0,51471.02942
9.13e-05,0,990425.9893
1.01e-05,0,60213.50532
0.000217035,0,2548437.873
0.000112406,0,104619.8277
1.77e-05,0,100108.1508
1.31e-05,0,119649.4955
0.000118719,0,106506.6374
1.37e-05,0,83099.15617
0.000288967,0,1917396.114
9.57e-05,0,56980.20151
3.21e-05,0,183920.9793
1.5e-05,0,127370.5937
1.29e-05,0,1106742.885
4.97e-05,0,66099.3467
1.09e-05,0,85535.22506
0.000257867,0,2135576.193
0.000187369,0,88202.66497
9.82e-06,0,504348.1011
0.000159591,0,72903.59522
0.000215652,0,71590.88744
1.29e-05,0,285348.8612
0.000162503,0,98627.97328
0.000164691,0,60633.89859
1.21e-05,0,33576.81654
0.000339149,0,1614134.484
1.22e-05,0,82825.66056
9.54e-06,0,170971.3975
0.000165924,0,94507.42594
1.25e-05,0,589771.641
1.28e-05,0,84211.44239
0.000209716,0,115874.4512
0.00017443,0,69050.65203
0.00018073,0,91064.29179
2.6e-05,0,166774.0426
0.000157892,0,141870.1161
0.000164576,0,59288.2101
2.52e-05,0,89021.68718
1.51e-05,0,496434.0982
7.31e-05,0,74148.47531
2.7e-05,0,110762.8545
0.000244524,0,693143.1962
0.000175565,0,59829.59643
0.000107463,0,30388.91955
0.000371085,0,2996742.235
6.84e-05,0,33144.14763
0.000214237,0,5620793.178
7.92e-05,0,52783.69034
0.000118252,0,135789.5954
0.001550518,0,200143.9234
7.59e-05,0,83233.45405
0.000257921,0,98808.39299
0.000116947,0,163595.5169
0.000175974,0,54951.30424
1.22e-05,0,408295.0796
3.3e-05,0,140297.2767
1.31e-05,0,229064.182
0.000178201,0,77754.10828
1.24e-05,0,126859.8563
0.000180578,0,176686.8128
1.26e-05,0,46097.00912
0.000300808,0,1833271.947
0.00018319,0,153439.5144
9.69e-06,0,286308.0171
0.000183378,0,92424.87843
1.42e-05,0,69342.53411
0.000293592,0,1889584.055
2.96e-05,0,143395.0085
1.64e-05,0,152069.801
1.89e-05,0,95071.37083
0.001296417,0,413324.4703
2.47e-05,0,188395.79
1.28e-05,0,404639.5966
1.59e-05,0,23417.74273
0.000301058,0,1850119.058
5.2e-05,0,95006.11377
1.44e-05,0,167315.8441
1.62e-05,0,88843.1224
0.000209094,0,2730693.603
4.37e-05,0,142106.809
1.4e-05,0,171767.0451
1.51e-05,0,97847.9438
0.000200024,0,2853856.33
9.95e-06,0,55885.94928
1.67e-05,0,123320.6656
9.47e-05,0,79367.54155
1.1e-05,0,339869.9374
4.4e-05,0,132594.4505
1.3e-05,0,1140366.896
5.78e-05,0,74153.44088
0.000206963,0,64557.85075
2.6e-05,0,129206.0975
4.99e-05,0,151383.7249
1.43e-05,0,56018.83267
0.000319571,0,1728799.775
1.4e-05,0,67509.83148
0.00021797,0,2590166.681
0.000182181,0,59698.95708
1.84e-05,0,87685.79791
1.42e-05,0,704162.9609
0.000159965,0,68840.3019
5.57e-05,0,93810.84051
5e-05,0,386693.297
0.000133609,0,79943.41607
1.26e-05,0,297420.4287
1.68e-05,0,72771.83596
0.000278308,0,2018771.661
0.000159507,0,87734.43119
9.36e-06,0,423359.3026
0.000159015,0,82107.09299
0.000172715,0,74260.36188
4.66e-05,0,85684.14888
0.000211795,0,682252.7763
2.48e-05,0,73216.931
0.000241349,0,389002.7247
1.42e-05,0,74437.58233
1.39e-05,0,167455.0104
0.000184633,0,79767.76688
1.43e-05,0,76215.45624
1.32e-05,0,1068818.78
0.000174079,0,61427.72972
1.45e-05,0,71023.78089
0.000177677,0,779786.0958
0.000166695,0,73684.66185
2.41e-05,0,137526.7038
0.000171817,0,93434.83723
9.68e-06,0,92979.7847
0.000100839,0,110025.4626
1.32e-05,0,56566.85854
0.000252193,0,2205769.434
0.000156545,0,94745.97895
0.000352055,0,56945.03759
1.62e-05,0,79736.17455
0.00030591,0,1821210.947
1.09e-05,0,81625.90808
0.000284287,0,1930769.409
0.000160682,0,55266.71438
0.000173063,0,80536.494
0.000161294,0,74502.69174
1.12e-05,0,81433.8118
0.000263722,0,2093187.629
1.42e-05,0,78648.78585
1.61e-05,0,482166.887
0.000180306,0,75234.15247
0.000156582,0,69916.1014
3.27e-05,0,77430.59725
0.000171108,0,717160.7876
1.54e-05,0,64835.68557
0.000283191,0,1972032.513
2.87e-05,0,83721.17466
1.19e-05,0,541995.2305
1.59e-05,0,67830.33208
0.000274617,0,2037343.617
0.000180973,0,91428.97003
1.56e-05,0,146914.7215
0.000177886,0,119565.5173
1.53e-05,0,138654.6777
0.000166901,0,69799.31014
0.000152665,0,86180.9749
1.08e-05,0,300691.4477
2.2e-05,0,116379.8682
1.3e-05,0,314126.5974
1.42e-05,0,75969.6927
1.2e-05,0,260601.6136
5.92e-05,0,125458.4473
1.04e-05,0,142061.2298
1.83e-05,0,29568.50758
0.000334377,0,1668871.524
4.26e-05,0,115331.3463
0.000183552,0,345328.6312
0.000214105,0,62555.5763
3.33e-05,0,120417.1884
1.32e-05,0,330141.9964
0.00020149,0,69944.80803
2.12e-05,0,166160.9028
2.5e-05,0,134315.4119
0.000182129,0,572246.1271
0.00022038,0,52510.8482
0.00022903,0,78127.16122
2.15e-05,0,345113.3726
7.18e-05,0,196468.4627
0.000170912,0,109384.1999
0.000138052,0,77601.53171
1.63e-05,0,172234.602
4.33e-05,0,106108.5962
0.000165845,0,151208.0098
0.000243206,0,103606.6672
1.83e-05,0,277552.6397
0.000103557,0,71470.74524
1.16e-05,0,224945.9128
6.05e-05,0,69353.39196
3.82e-05,0,71844.03932
0.000226236,0,2810396.589
0.000512472,0,32991.57572
9.16e-05,0,97675.31919
0.000413099,0,1640438.898
0.00014006,0,136922.9944
0.000113058,0,112747.8114
3.4e-05,0,377465.9131
2.77e-05,0,119173.0351
8.39e-05,0,141489.427
3.61e-05,0,70282.21238
3.78e-05,0,356101.0632
1.29e-05,0,179261.1714
0.000123125,0,108633.0085
6.67e-05,0,82698.85029
1.44e-05,0,71546.94253
0.000216323,0,2614631.065
6.3e-05,0,72865.21607
1.52e-05,0,265921.2911
0.000101124,0,85760.46594
0.000131875,0,55641.62991
2.01e-05,0,62846.71412
0.000317115,0,1777361.567
0.000124411,0,98883.39489
1.1e-05,0,460797.4432
2.66e-05,0,49508.01467
5.24e-05,0,432284.3084
0.000230287,0,125252.673
0.000177752,0,348699.8129
1.41e-05,0,63303.01029
0.000267101,0,2087269.097
0.000172367,0,94459.05361
0.000114682,0,43166.9203
1.46e-05,0,404935.548
1e-05,0,82652.55326
0.000312968,0,1742401.662
9.79e-06,0,57383.2693
0.0001807,0,3084390.685
1.33e-05,0,73057.51697
0.000275395,0,2015097.827
8.68e-05,0,93596.74198
8.53e-05,0,139713.1103
8.92e-06,0,120286.3784
1.55e-05,0,200669.8543
1.25e-05,0,56893.83461
1.36e-05,0,129606.8656
1.39e-05,0,411252.0914
1.05e-05,0,146187.3729
5.94e-05,0,81725.31227
1.33e-05,0,273947.6141
7.88e-05,0,187122.3077
1.77e-05,0,131219.5599
5.63e-05,0,81840.07805
5.36e-05,0,1081344.0
5.58e-05,0,89175.82798
6.16e-05,0,68309.45441
9.69e-05,0,98570.90453
5.32e-05,0,290438.3622
1.58e-05,0,68558.99053
0.000206282,0,2771705.272
6.38e-05,0,73137.13712
0.000109299,0,52683.23608
5.13e-05,0,284944.9964
4.78e-05,0,154758.3866
1.11e-05,0,326010.9689
1.1e-05,0,62613.94193
8.71e-05,0,183875.1671
7.18e-05,0,138368.7918
4.04e-05,0,153153.0091
0.000105587,0,123685.703
5e-05,0,305587.4861
0.000171545,0,68030.36623
0.00017718,0,633283.5322
